Algorithm,ArraySize,Time(ms),Comparisons,Allocations,MaxDepth
QuickSort,10,7864300,22,0,2
MergeSort,10,6786000,27,19,1
QuickSort,100,251400,703,0,3
MergeSort,100,148600,668,492,4
QuickSort,1000,1279400,11765,0,6
MergeSort,1000,1822100,10337,7936,7
QuickSort,5000,1297900,67478,0,7
MergeSort,5000,3085700,59027,54488,10
Selection,50,154500,290,21,6
Selection,50,69800,363,23,6
Selection,50,62500,319,22,6
Selection,50,87800,368,22,6
Selection,50,81400,367,22,6
Selection,50,77800,359,25,6
Selection,50,92800,451,31,6
Selection,50,59500,280,21,6
Selection,50,61400,314,22,5
Selection,50,72200,369,23,6
Selection,50,75300,353,24,6
Selection,50,60500,327,19,6
Selection,50,55600,309,20,6
Selection,50,61400,348,22,6
Selection,50,56500,314,23,5
Selection,50,61200,338,22,5
Selection,50,60000,331,22,5
Selection,50,51100,357,23,6
Selection,50,42600,338,22,5
Selection,50,41400,336,22,6
Selection,50,59300,402,27,6
Selection,50,43400,292,20,5
Selection,50,57800,347,23,6
Selection,50,44600,338,22,7
Selection,50,44700,379,26,6
Selection,50,58000,356,22,5
Selection,50,32900,341,22,6
Selection,50,30300,334,24,6
Selection,50,31700,287,17,4
Selection,50,85500,312,19,5
Selection,50,33300,328,24,6
Selection,50,40900,469,33,8
Selection,50,37700,364,24,6
Selection,50,70200,415,29,7
Selection,50,24200,280,19,6
Selection,50,23200,364,22,5
Selection,50,17400,265,20,5
Selection,50,20700,238,14,5
Selection,50,23600,357,24,6
Selection,50,105700,401,27,6
Selection,50,22500,398,27,6
Selection,50,24800,352,25,7
Selection,50,20400,414,26,6
Selection,50,12500,335,21,5
Selection,50,14900,346,22,5
Selection,50,16200,396,25,6
Selection,50,15700,362,26,6
Selection,50,15900,362,25,5
Selection,50,29500,370,23,6
Selection,50,17500,385,24,6
Selection,50,16400,367,24,6
Selection,50,71900,333,25,6
Selection,50,8700,321,21,7
Selection,50,8300,293,21,5
Selection,50,10400,292,18,6
Selection,50,9100,252,18,5
Selection,50,17000,392,27,6
Selection,50,16200,392,27,6
Selection,50,8500,338,24,6
Selection,50,13500,374,25,6
Selection,50,7500,325,19,6
Selection,50,8300,337,19,5
Selection,50,11000,433,30,6
Selection,50,8400,358,25,6
Selection,50,7000,294,20,5
Selection,50,8800,338,23,6
Selection,50,10000,400,26,6
Selection,50,8700,389,27,6
Selection,50,8700,377,26,6
Selection,50,7100,324,20,5
Selection,50,9000,350,24,7
Selection,50,7200,336,19,5
Selection,50,12300,328,22,5
Selection,50,9900,389,25,5
Selection,50,10500,399,27,6
Selection,50,7400,353,23,5
Selection,50,11600,329,21,6
Selection,50,9000,391,25,7
Selection,50,12800,353,22,6
Selection,50,10600,370,25,5
Selection,50,12200,299,22,7
Selection,50,13800,327,20,4
Selection,50,15800,363,23,6
Selection,50,11600,321,19,5
Selection,50,13200,354,22,5
Selection,50,32200,314,21,6
Selection,50,13300,339,21,6
Selection,50,15100,398,27,6
Selection,50,13000,319,23,5
Selection,50,15000,401,25,6
Selection,50,9900,239,17,4
Selection,50,11300,287,20,5
Selection,50,12700,352,25,6
Selection,50,15900,291,22,5
Selection,50,8700,324,20,6
Selection,50,5400,178,12,4
Selection,50,9400,373,24,6
Selection,50,17100,402,27,6
Selection,50,10200,349,22,5
Selection,50,8200,345,24,6
ClosestPoints,100,19693900,128,0,7
ClosestPoints,500,4268000,563,0,9
ClosestPoints,2000,6392100,2287,0,11
